num;bdd;sub;age;sex;sco;sta;anc;job;deg;stc;enf;cho;lan;ste;su_1;su_2;su_3;su_4;su_5;su_6;su_7;su_8;su_9;su_10;su_11;su_12;su_13;su_14
1436;6;460_6;20;2;5;;;;;1;1;1;2;1;6;7;7;4;5;7;7;7;7;4;5;3;6;5
1438;6;462_6;21;1;6;;;;;1;1;2;2;1;5;5;5;4;6;5;5;5;6;6;5;4;6;5
1440;6;464_6;22;2;8;;;;;1;1;1;2;1;5;5;6;6;4;5;5;5;5;5;5;3;4;5
1446;6;470_6;24;2;7;;;;;1;1;1;2;1;5;5;6;6;5;6;6;6;6;6;6;5;5;5
1452;6;476_6;;2;5;;;;;1;1;2;2;1;5;6;6;7;5;6;6;6;4;5;6;3;4;5
1454;6;478_6;;1;8;;;;;1;1;1;2;1;5;3;4;6;4;7;3;6;6;4;4;3;5;5
1456;6;480_6;35;2;6;;;;;2;3;1;3;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5
1466;6;490_6;22;1;5;;;;;1;1;2;;1;5;4;5;5;4;5;4;5;3;4;5;4;5;5
1494;6;518_6;20;1;5;;;;;1;1;2;2;1;5;;4;5;5;7;2;5;4;5;5;5;5;5
1502;6;526_6;20;2;6;;;;;1;1;2;;1;5;5;6;6;5;6;3;4;6;6;5;5;5;5
1508;6;532_6;27;1;8;;;;;1;1;1;1;1;5;4;4;6;4;4;2;3;5;6;6;4;4;5
1512;6;536_6;22;1;5;;;;;2;2;2;2;1;6;5;6;5;5;6;6;6;6;6;4;4;5;5
1514;6;538_6;20;2;6;;;;;1;1;2;;1;7;7;7;7;6;6;7;7;7;7;7;5;6;5
1526;6;550_6;24;2;5;;;;;2;1;2;2;1;6;5;6;6;6;7;4;5;6;6;5;4;5;5
1532;6;556_6;21;2;5;;;;;1;1;1;2;1;6;5;5;6;6;6;4;6;6;6;6;4;6;5
12;1;12_1;2;1;4;1;39;;;;;;;;6;4;6;7;6;5;5;5;6;6;6;4;6;6
22;1;22_1;3;1;3;1;5;;;;;;;;6;6;6;5;6;6;6;6;6;6;6;5;5;6
32;1;32_1;2;1;3;1;4;;;;;;;;6;6;7;4;6;3;6;6;6;6;6;4;6;6
36;1;36_1;4;2;3;1;6;;;;;;;;5;7;6;6;6;7;5;6;6;7;7;5;7;6
40;1;40_1;2;1;3;1;10.5;;;;;;;;5;5;6;3;5;5;5;5;6;6;6;5;6;6
42;1;42_1;2;1;4;1;15;;;;;;;;4;3;7;3;2;5;3;4;7;3;7;3;7;6
46;1;46_1;1;1;4;1;1.7;;;;;;;;6;6;6;6;6;6;6;5;5;5;5;6;6;6
58;1;58_1;2;2;4;1;3;;;;;;;;6;6;6;6;6;6;6;6;6;6;6;6;6;6
62;1;62_1;4;1;3;1;2;;;;;;;;5;6;6;6;6;6;5;6;6;6;6;5;6;6
68;1;68_1;3;2;4;1;6;;;;;;;;6;6;6;6;6;6;6;6;6;6;6;6;6;6
72;1;72_1;3;1;4;1;0.75;;;;;;;;6;6;7;5;7;7;7;7;6;6;6;5;6;6
