num;split;bdd;sub;age;sex;sco;sta;anc;job;deg;stc;enf;cho;lan;ste;su_1;su_2;su_3;su_4;su_5;su_6;su_7;su_8;su_9;su_10;su_11;su_12;su_13;su_14
273;1;1;273_1;4;2;5;2;33;;;;;;;;5;6;6;6;5;6;5;6;5;5;6;5;6;6
275;1;1;275_1;1;2;4;2;3;;;;;;;;7;6;5;6;6;6;6;6;6;6;6;6;6;6
279;1;1;279_1;3;1;3;1;13;;;;;;;;5;5;6;6;6;7;6;7;7;6;7;5;6;6
291;1;1;291_1;3;1;5;1;5;;;;;;;;7;5;7;7;7;6;6;6;6;6;6;6;6;6
293;1;1;293_1;2;1;3;1;5;;;;;;;;6;5;5;5;6;6;5;6;6;5;6;5;6;6
305;1;1;305_1;2;1;3;1;6;;;;;;;;6;6;6;6;5;5;6;6;5;5;6;5;6;6
311;1;1;311_1;1;1;4;1;2.5;;;;;;;;5;6;7;5;7;6;5;7;6;6;6;5;6;6
331;1;1;331_1;1;1;3;1;25;;;;;;;;6;6;6;6;6;5;6;6;6;6;6;6;6;6
333;1;1;333_1;2;1;3;1;11;;;;;;;;3;3;5;3;3;5;3;3;6;3;6;3;3;6
335;1;1;335_1;2;2;4;1;1.5;;;;;;;;7;5;7;6;5;7;6;6;6;7;7;6;7;6
353;1;1;353_1;2;1;4;1;4;;;;;;;;6;6;7;7;7;7;6;5;7;6;6;5;7;6
355;1;1;355_1;3;2;3;1;10;;;;;;;;7;7;6;6;4;6;4;5;6;6;6;5;7;6
359;1;1;359_1;4;2;4;3;0.5;;;;;;;;7;7;7;5;7;7;4;5;4;7;6;6;6;6
363;1;1;363_1;4;2;3;1;7;;;;;;;;6;7;7;5;6;7;6;6;6;7;6;6;6;6
365;1;1;365_1;1;1;3;1;25;;;;;;;;7;7;7;6;6;6;6;6;6;6;6;7;6;6
373;1;1;373_1;2;1;4;1;10;;;;;;;;5;5;6;5;6;6;6;6;6;5;6;5;6;6
