num;split;bdd;sub;age;sex;sco;sta;anc;job;deg;stc;enf;cho;lan;ste;su_1;su_2;su_3;su_4;su_5;su_6;su_7;su_8;su_9;su_10;su_11;su_12;su_13;su_14
203;1;1;203_1;3;2;5;3;21;;;;;;;;6;6;7;5;7;5;7;7;7;7;7;7;7;7
267;1;1;267_1;2;1;4;1;10;;;;;;;;6;6;7;6;7;7;7;7;7;7;7;7;7;7
285;1;1;285_1;4;1;4;1;8;;;;;;;;6;7;6;6;7;6;7;7;7;5;6;6;;7
315;1;1;315_1;3;1;3;2;6;;;;;;;;5;4;6;5;3;5;5;6;6;4;6;5;6;7
337;1;1;337_1;2;1;3;1;12;;;;;;;;6;6;6;5;6;5;6;7;6;6;6;5;6;7
387;1;1;387_1;1;1;3;1;25;;;;;;;;6;6;7;5;6;7;7;7;7;7;7;6;6;7
451;1;1;451_1;3;2;4;1;0.16;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;6;7;7
453;1;1;453_1;4;1;3;1;7;;;;;;;;6;5;6;6;6;5;7;7;7;6;6;6;7;7
463;1;1;463_1;1;1;3;1;45;;;;;;;;7;5;7;7;7;7;7;7;7;7;7;7;7;7
485;1;1;485_1;2;2;3;1;25;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;6;7;7
491;1;1;491_1;1;1;3;1;4;;;;;;;;7;6;7;6;7;7;7;7;7;7;7;6;7;7
507;1;1;507_1;2;1;3;1;10;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7
521;1;1;521_1;2;1;4;1;75;;;;;;;;4;4;5;5;3;5;3;2;5;2;4;2;;7
537;1;1;537_1;4;1;4;1;23;;;;;;;;6;6;6;5;7;7;6;6;7;6;6;5;7;7
587;1;2;45_2;50;2;;;;15;7;;;;;;5;4;6;6;5;7;4;6;7;7;7;6;7;7
595;1;2;53_2;45;2;;;;8;6;;;;;;7;4;4;6;5;7;7;4;7;7;7;3;4;7
621;1;3;1_3;35 à 44 ans;Femme;Certificat (études universitaires de 1er cycle, 30 crédits);;10 ans et plus;;;;;;;;4;5;6;6;4;6;3;3;7;7;7;3;6;7
623;1;3;3_3;55 ans et plus;Femme;Aucun Diplôme;;10 ans et plus;;;;;;;;6;7;7;6;5;6;6;6;5;5;5;4;7;7
643;1;3;23_3;18 à 24 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;Moins de 1 an;;;;;;;;7;7;7;7;5;4;7;7;7;7;7;5;6;7
647;1;3;27_3;18 à 24 ans;Femme;D.E.C. (études collégiales);;1 à 5 ans;;;;;;;;7;7;7;7;6;7;7;7;7;7;7;6;7;7
655;1;3;35_3;45 à 54 ans;Femme;D.E.S, D.E.P., A.E.P. (études secondaires);;1 à 5 ans;;;;;;;;7;7;7;7;5;6;7;7;7;7;6;5;7;7
663;1;3;43_3;;Femme;D.E.C. (études collégiales);;1 à 5 ans;;;;;;;;5;5;6;6;5;7;6;5;6;6;6;5;6;7
669;1;3;49_3;;Femme;Baccalauréat (études universitaires de 1er cycle);;1 à 5 ans;;;;;;;;6;6;7;7;7;7;7;7;7;6;7;6;7;7
683;1;3;63_3;18 à 24 ans;Femme;Certificat (études universitaires de 1er cycle, 30 crédits);;1 à 5 ans;;;;;;;;6;6;7;6;7;7;7;7;7;7;7;6;7;7
685;1;3;65_3;55 ans et plus;Homme;Maîtrise (études universitaires de 2e cycle);;10 ans et plus;;;;;;;;6;6;6;5;5;4;6;5;7;7;6;5;5;7
687;1;3;67_3;;Femme;D.E.C. (études collégiales);;Plus de 5 ans à moins de 10 ans;;;;;;;;6;6;6;6;6;6;6;6;7;7;7;6;7;7
693;1;3;73_3;;Femme;D.E.C. (études collégiales);;1 à 5 ans;;;;;;;;7;6;6;6;6;6;7;7;5;7;7;7;7;7
697;1;3;77_3;35 à 44 ans;Femme;D.E.C. (études collégiales);;10 ans et plus;;;;;;;;7;6;6;6;6;7;7;7;7;7;7;6;7;7
703;1;3;83_3;;Femme;Aucun Diplôme;;10 ans et plus;;;;;;;;7;1;7;1;4;1;7;7;7;7;7;6;7;7
711;1;3;91_3;18 à 24 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;Moins de 1 an;;;;;;;;7;7;7;7;7;7;4;4;7;7;7;5;7;7
713;1;3;93_3;;Femme;Baccalauréat (études universitaires de 1er cycle);;Plus de 5 ans à moins de 10 ans;;;;;;;;7;7;7;6;7;7;7;7;7;6;7;5;6;7
719;1;3;99_3;35 à 44 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;Moins de 1 an;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;6;7;7
721;1;3;101_3;25 à 34 ans;Femme;D.E.C. (études collégiales);;1 à 5 ans;;;;;;;;7;6;6;7;7;6;7;6;7;7;7;6;6;7
723;1;3;103_3;18 à 24 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;1 à 5 ans;;;;;;;;7;6;7;6;6;7;6;6;6;6;6;7;7;7
727;1;3;107_3;25 à 34 ans;Femme;D.E.C. (études collégiales);;Plus de 5 ans à moins de 10 ans;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;6;7;7
735;1;3;115_3;45 à 54 ans;Femme;Certificat (études universitaires de 1er cycle, 30 crédits);;10 ans et plus;;;;;;;;7;7;7;7;7;6;7;7;7;7;7;7;7;7
745;1;3;125_3;35 à 44 ans;Femme;Maîtrise (études universitaires de 2e cycle);;1 à 5 ans;;;;;;;;6;5;7;7;5;6;6;5;7;6;7;5;4;7
747;1;3;127_3;55 ans et plus;Homme;Baccalauréat (études universitaires de 1er cycle);;10 ans et plus;;;;;;;;6;6;7;6;5;7;6;6;7;7;6;6;7;7
749;1;3;129_3;45 à 54 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;Plus de 5 ans à moins de 10 ans;;;;;;;;6;6;7;6;7;7;7;6;7;7;7;6;7;7
755;1;3;135_3;25 à 34 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;1 à 5 ans;;;;;;;;7;7;7;7;7;5;7;5;7;7;7;5;7;7
759;1;3;139_3;18 à 24 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;Moins de 1 an;;;;;;;;6;6;6;5;6;6;1;1;6;7;7;5;6;7
773;1;4;11_4;1;1;3;;;;;;;;;;5;6;7;4;5;5;5;6;7;5;6;3;6;7
811;1;4;49_4;1;1;2;;;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7
815;1;4;53_4;2;1;4;;;;;;;;;;5;7;7;7;7;7;7;7;7;7;7;7;7;7
877;1;4;115_4;1;1;2;;;;;;;;;;7;7;7;6;6;6;7;7;7;7;7;7;7;7
879;1;4;117_4;2;1;2;;;;;;;;;;5;7;7;5;7;5;5;4;7;7;7;5;6;7
931;1;5;44_5;24;2;3;;;;;;;;;;6;6;7;7;6;7;7;7;7;5;7;5;6;7
955;1;5;68_5;22;1;2;;;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7
965;1;5;78_5;26;1;1;;;;;;;;;;6;6;7;5;7;6;7;7;7;6;6;6;6;7
999;1;6;23_6;;1;7;;;;;1;1;1;;1;6;6;6;6;6;5;7;7;7;5;7;5;5;7
1013;1;6;37_6;21;1;7;;;;;1;1;1;3;1;1;3;7;7;7;7;1;7;7;1;7;1;7;7
1039;1;6;63_6;21;2;8;;;;;1;1;2;3;1;7;7;7;7;7;7;7;7;7;7;7;7;7;7
1073;1;6;97_6;22;1;7;;;;;1;1;1;1;1;7;5;4;7;4;7;4;3;4;4;7;3;4;7
1113;1;6;137_6;19;2;8;;;;;1;1;1;2;1;7;6;6;6;7;7;6;7;7;6;6;6;7;7
1153;1;6;177_6;28;1;6;;;;;1;1;2;2;1;7;6;7;7;6;7;7;7;7;7;7;5;7;7
1161;1;6;185_6;23;1;5;;;;;1;1;2;;1;7;2;2;2;2;2;5;5;5;5;7;7;1;7
1285;1;6;309_6;20;2;5;;;;;2;1;1;2;1;5;6;7;5;6;6;7;7;6;6;5;5;6;7
1329;1;6;353_6;24;2;8;;;;;1;1;1;2;1;7;7;7;7;6;7;4;7;7;7;7;4;7;7
1333;1;6;357_6;22;1;5;;;;;1;1;1;2;1;6;2;;3;1;7;2;5;5;5;7;2;7;7
1373;1;6;397_6;22;1;8;;;;;1;1;1;;1;1;7;7;6;7;7;7;7;7;4;7;6;6;7
1401;1;6;425_6;;1;7;;;;;2;1;2;2;1;4;4;5;6;5;7;2;5;7;5;7;4;6;7
1437;1;6;461_6;19;1;5;;;;;1;1;1;;1;5;7;7;7;5;7;7;7;7;7;7;1;7;7
1495;1;6;519_6;;;;;;;;1;1;1;;1;7;7;7;;1;1;1;4;7;7;7;1;7;7
1509;1;6;533_6;20;1;7;;;;;1;1;2;2;1;7;7;6;6;6;7;5;6;6;6;7;7;7;7
1531;1;6;555_6;;1;6;;;;;;;1;;1;1;5;5;6;2;5;7;7;7;7;7;2;6;7
257;1;1;257_1;2;1;5;1;2;;;;;;;;6;5;6;5;6;6;6;;;;;;;
1499;1;6;523_6;18;2;8;;;;;1;1;2;2;1;4;6;;5;2;4;1;4;3;6;2;1;2;
